Ortschaftsname;PLZ;Zusatzziffer;Gemeindename;Kantonskürzel;E;N
Anzonico;6748;0;Anzonico;TI;709987;144386
Anzère;1972;0;Ayent;VS;597791;131581
Appenzell;9050;0;Appenzell;AI;748935;243200
Appenzell;9050;1;Gonten;AI;746614;241737
Appenzell Eggerstanden;9050;2;Rüte;AI;753945;244495
Appenzell Enggenhütten;9050;3;Schlatt-Haslen;AI;745140;246090
Appenzell Meistersrüte;9050;5;Appenzell;AI;750573;246248
Appenzell Schlatt;9050;7;Schlatt-Haslen;AI;748235;246930
Appenzell Steinegg;9050;6;Rüte;AI;752469;243133
Apples;1143;0;Apples;VD;521784;156533
Aproz (Nendaz);1994;2;Nendaz;VS;590129;117091
Aquila;6719;0;Blenio;TI;715931;164359
Aquila;6719;0;Blenio;TI;719586;159461
Aquila;6719;0;Blenio;TI;717277;151934
Aran;1091;1;Bourg-en-Lavaux;VD;544622;151351
Aranno;6994;0;Aranno;TI;711089;97278
Arbaz;1974;0;Arbaz;VS;595052;127607
Arbedo;6517;0;Arbedo-Castione;TI;727384;117867
Arboldswil;4424;0;Arboldswil;BL;621172;251774
Arbon;9320;0;Arbon;TG;749678;264224
Arcegno;6618;0;Losone;TI;700547;113229
Arcegno;6618;0;Ronco sopra Ascona;TI;700914;112204
Arch;3296;0;Arch;BE;599543;224282
Arconciel;1732;0;Arconciel;FR;575297;178034
Ardez;7546;0;Ardez;GR;809760;184084
Ardon;1957;0;Ardon;VS;584580;120454
Areuse;2015;0;Boudry;NE;556027;200350
Arezen;7104;3;Versam;GR;744863;182133
Argnou (Ayent);1966;10;Ayent;VS;597001;123573
Arisdorf;4422;0;Arisdorf;BL;624703;261931
Aristau;5628;0;Aristau;AG;669939;238115
Arlesheim;4144;0;Arlesheim;BL;614280;260618
Arnegg;9212;0;Gossau (SG);SG;736791;256029
Arnex-sur-Nyon;1277;1;Arnex-sur-Nyon;VD;504049;136384
Arnex-sur-Orbe;1321;0;Arnex-sur-Orbe;VD;529609;171902
Arni AG;8905;3;Arni (AG);AG;674170;240970
Arni BE;3508;0;Arni (BE);BE;617126;198147
Arogno;6822;0;Arogno;TI;720667;91136
Arolla;1986;0;Evolène;VS;606163;96091
Arosa;7050;0;Arosa;GR;770813;182491
Arosio;6939;2;Alto Malcantone;TI;712948;101995
Arth;6415;0;Arth;SZ;682455;214214
Arveyes;1884;2;Ollon;VD;570673;126353
Arvigo;6543;0;Arvigo;GR;727450;130242
Arvillard (Salins);1991;2;Salins;VS;592649;117639
Arzier;1273;0;Arzier;VD;501973;153230
Arzo;6864;0;Mendrisio;TI;716489;81874
Ascharina;7245;0;St. Antönien;GR;781322;202492
Ascona;6612;0;Ascona;TI;702545;112502
Asp;5025;0;Densbüren;AG;646410;254736
Assens;1042;0;Assens;VD;537810;163070
Astano;6999;0;Astano;TI;706651;96933
Asuel;2954;0;La Baroche;JU;582236;249845
Athenaz (Avusy);1285;0;Avusy;GE;489310;112162
Attalens;1616;0;Attalens;FR;555017;150856
Attelwil;5056;0;Attelwil;AG;645373;234840
Attikon;8544;0;Wiesendangen;ZH;702630;266151
Attinghausen;6468;0;Attinghausen;UR;689022;190177
Attiswil;4536;0;Attiswil;BE;612820;233291
Au SG;9434;0;Au (SG);SG;765965;255688
Au TG;8376;2;Fischingen;TG;714198;250314
Au ZH;8804;0;Wädenswil;ZH;691765;233766
Aubonne;1170;0;Aubonne;VD;519279;148948
Auboranges;1673;3;Auboranges;FR;551396;159464
Auddes-sur-Riddes;1914;2;Riddes;VS;584532;111725
Auenstein;5105;0;Auenstein;AG;652093;252202
Augio;6547;0;Rossa;GR;730478;135749
Augst BL;4302;0;Augst;BL;621534;264524
Aumont;1484;0;Les Montets;FR;555610;182918
Auressio;6661;2;Isorno;TI;696787;117597
Aurigeno;6677;1;Maggia;TI;698373;119944
Auslikon;8331;0;Pfäffikon;ZH;703523;244811
Ausserberg;3938;0;Ausserberg;VS;631700;130849
Ausserbinn;3995;2;Ernen;VS;655767;136715
Ausserferrera;7444;0;Ferrera;GR;755288;157936
Auswil;4944;0;Auswil;BE;630338;220615
Autafond;1782;2;Autafond;FR;572455;185090
Autavaux;1475;0;Vernay;FR;557080;190610
Autigny;1742;0;Autigny;FR;569022;176699
Auvernier;2012;0;Auvernier;NE;557064;202932
Auw;5644;0;Auw;AG;670388;230017
Avegno;6670;0;Avegno Gordevio;TI;702480;117724
Aven;1976;1;Conthey;VS;583162;126294
Avenches;1580;0;Avenches;VD;569375;192497
Avry-devant-Pont;1644;0;Pont-en-Ogoz;FR;573147;170368
Avry-sur-Matran;1754;4;Avry;FR;571414;182465
Avully;1237;0;Avully;GE;488866;113874
Axalp;3855;1;Brienz (BE);BE;645819;174641
Ayer;3961;24;Anniviers;VS;614163;114821
Azmoos;9478;0;Wartau;SG;751283;217338
Aïre;1219;10;Vernier;GE;496548;117382
