Ortschaftsname;PLZ;Zusatzziffer;Gemeindename;Kantonskürzel;E;N
Egg (Flawil);9231;0;Flawil;SG;734619;250694
Egg SZ;8847;0;Einsiedeln;SZ;701675;224161
Egg b. Zürich;8132;0;Egg;ZH;694712;238650
Eggenwil;5445;0;Eggenwil;AG;667932;247088
Eggerberg;3939;0;Eggerberg;VS;634538;129810
Eggersriet;9034;0;Eggersriet;SG;752738;256481
Eggiwil;3537;0;Eggiwil;BE;628041;189274
Eglisau;8193;0;Eglisau;ZH;681594;269634
Egliswil;5704;0;Egliswil;AG;656927;244809
Egnach;9322;0;Egnach;TG;746335;267303
Egolzwil;6243;0;Egolzwil;LU;642345;226085
Ehrendingen;5420;0;Ehrendingen;AG;668267;260932
Eich;6205;0;Eich;LU;655640;223281
Eichberg;9453;0;Eichberg;SG;757470;245888
Eigenthal;6013;0;Schwarzenberg;LU;659007;205324
Eigergletscher;3823;2;Lauterbrunnen;BE;641046;158312
Eiken;5074;0;Eiken;AG;641512;265445
Einigen;3646;0;Spiez;BE;616031;172486
Einsiedeln;8840;0;Einsiedeln;SZ;698986;221094
Eischoll;3943;0;Eischoll;VS;625135;125720
Eison (St.Martin);1969;5;Saint-Martin (VS);VS;603875;111128
Eisten;3922;2;Eisten;VS;635251;113881
Elfingen;5077;0;Elfingen;AG;650020;262363
Elgg;8353;0;Elgg;ZH;707217;260899
Ellighausen;8566;4;Kemmental;TG;727867;274970
Ellikon am Rhein;8464;0;Marthalen;ZH;687572;273238
Ellikon an der Thur;8548;0;Ellikon an der Thur;ZH;704498;268896
Elm;8767;0;Glarus Süd;GL;730169;196123
Elsau;8352;0;Elsau;ZH;702929;262172
Embd;3926;0;Embd;VS;627897;118603
Embrach;8424;0;Embrach;ZH;687522;262831
Emdthal;3711;0;Aeschi bei Spiez;BE;618592;166063
Emmen;6032;0;Emmen;LU;666135;215549
Emmenbrücke;6020;0;Emmen;LU;662493;214228
Emmenmatt;3543;0;Lauperswil;BE;621813;199334
Emmetten;6376;0;Beckenried;NW;679625;200921
Emmetten;6376;0;Emmetten;NW;682405;200117
Endingen;5304;0;Endingen;AG;664411;264418
Engelberg;6390;0;Engelberg;OW;675924;185532
Engelburg;9032;0;Gaiserwald;SG;743013;256206
Enges;2073;0;Enges;NE;567660;213587
Enggistein;3077;0;Worb;BE;612399;197569
Engi;8765;0;Glarus Süd;GL;731709;206728
Engishofen;8586;8;Erlen;TG;736288;268876
Englisberg;3086;2;Wald (BE);BE;601905;193844
Engollon;2063;2;Engollon;NE;561135;210696
Engwang;8556;2;Wigoltingen;TG;721462;273444
Engwilen;8564;2;Wäldi;TG;724701;275214
Ennenda;8755;0;Glarus;GL;726080;211654
Ennetaach;8586;9;Erlen;TG;733686;268395
Ennetbaden;5408;0;Ennetbaden;AG;667011;259164
Ennetbühl;9651;0;Nesslau-Krummenau;SG;737655;234201
Ennetbürgen;6373;0;Ennetbürgen;NW;675677;205318
Ennetmoos;6372;0;Ennetmoos;NW;666991;199752
Enney;1667;0;Bas-Intyamon;FR;571719;156831
Entlebuch;6162;0;Entlebuch;LU;648189;204545
Epagny;1663;3;Gruyères;FR;573007;159668
Epalinges;1066;0;Epalinges;VD;540798;156006
Epautheyres;1417;2;Essertines-sur-Yverdon;VD;539434;176360
Epauvillers;2885;0;Clos du Doubs;JU;576271;242826
Ependes FR;1731;0;Ependes (FR);FR;577888;178379
Ependes VD;1434;0;Ependes (VD);VD;536103;177560
Epesses;1098;0;Bourg-en-Lavaux;VD;547328;149966
Epiquerez;2886;0;Clos du Doubs;JU;572092;242020
Eppenberg;5012;4;Eppenberg-Wöschnau;SO;644183;247116
Epsach;3272;2;Epsach;BE;583516;213324
Eptingen;4458;0;Eptingen;BL;628563;247701
Erde;1976;0;Conthey;VS;589037;126183
Ergisch;3947;0;Ergisch;VS;622504;122488
Eriswil;4952;0;Eriswil;BE;631941;213236
Eriz;3619;0;Horrenbach-Buchen;BE;625999;180778
Erlach;3235;0;Erlach;BE;574968;211048
Erlen;8586;0;Erlen;TG;735169;268009
Erlenbach ZH;8703;0;Erlenbach (ZH);ZH;687181;239637
Erlenbach im Simmental;3762;0;Erlenbach im Simmental;BE;606348;167186
Erlinsbach;5018;0;Erlinsbach (AG);AG;643039;251460
Erlinsbach SO;5015;0;Erlinsbach (SO);SO;642058;249590
Ermatingen;8272;0;Ermatingen;TG;723659;279798
Ermensee;6294;0;Ermensee;LU;660447;230740
Ermenswil;8734;0;Eschenbach (SG);SG;709804;233966
Ernen;3995;0;Ernen;VS;655180;138877
Ernetschwil;8725;0;Ernetschwil;SG;718012;233507
Erschmatt;3957;0;Erschmatt;VS;619943;132881
Erschwil;4228;0;Erschwil;SO;607957;246628
Ersigen;3423;0;Ersigen;BE;611816;216667
Erstfeld;6472;0;Erstfeld;UR;688711;185275
Eschen;9492;0;Eschen (LI);;757842;230770
Eschenbach LU;6274;0;Eschenbach (LU);LU;666418;219723
Eschenbach SG;8733;0;Eschenbach (SG);SG;712199;233557
Eschenz;8264;0;Eschenz;TG;708619;277193
Eschert;2743;0;Eschert;BE;598000;235030
Eschikofen;8553;5;Hüttlingen;TG;717821;271075
Eschlikon TG;8360;0;Eschlikon;TG;715128;257709
Escholzmatt;6182;0;Escholzmatt;LU;637866;197557
Esmonts;1670;3;Ursy;FR;554707;166182
Essert FR;1724;2;Le Mouret;FR;578810;176183
Essert-Pittet;1435;0;Essert-Pittet;VD;534335;175491
Essert-sous-Champvent;1443;2;Champvent;VD;534758;182905
Essertes;1078;0;Essertes;VD;550045;156904
Essertines-sur-Rolle;1186;0;Essertines-sur-Rolle;VD;513196;148993
Essertines-sur-Yverdon;1417;0;Essertines-sur-Yverdon;VD;539199;174328
Esslingen;8133;0;Egg;ZH;696711;238334
Estavannens;1665;0;Bas-Intyamon;FR;575068;157132
Estavayer-le-Gibloux;1695;3;Le Glèbe;FR;568350;174750
Estavayer-le-Lac;1470;0;Estavayer-le-Lac;FR;555762;188869
Estévenens;1687;3;Vuisternens-devant-Romont;FR;563521;168671
Etagnières;1037;0;Etagnières;VD;536572;161404
Etoy;1163;0;Etoy;VD;521903;148495
Ettenhausen TG;8356;0;Aadorf;TG;709811;259126
Ettingen;4107;0;Ettingen;BL;608131;258381
Ettiswil;6218;0;Ettiswil;LU;643875;221847
Etzelkofen;3306;0;Etzelkofen;BE;603135;214656
Etzgen;5275;0;Mettauertal;AG;650908;269591
Etziken;4554;0;Etziken;SO;615645;226180
Etzwilen;8259;2;Wagenhausen;TG;703556;279394
Euseigne;1982;0;Saint-Martin (VS);VS;599286;110283
Euthal;8844;0;Einsiedeln;SZ;705192;216732
Evilard;2533;0;Evilard;BE;584522;222191
Evionnaz;1902;0;Evionnaz;VS;562589;111382
Evolène;1983;0;Evolène;VS;603656;107570
Eyholz;3930;2;Visp;VS;636701;126449
Eysins;1262;0;Eysins;VD;505126;137203
Fahrni b. Thun;3617;0;Fahrni;BE;616746;182786
Fahrwangen;5615;0;Fahrwangen;AG;660455;238480
Fahrweid;8951;0;Weiningen (ZH);ZH;674112;251603
Fahy;2916;0;Fahy;JU;563764;252210
Faido;6760;0;Faido;TI;704606;147768
Fajauna;7226;2;Schiers;GR;772147;204576
Falera;7153;0;Falera;GR;736576;185448
Fanas;7215;0;Grüsch;GR;770465;208291
Fankhaus (Trub);3557;0;Trub;BE;636985;203589
Faoug;1595;0;Faoug;VD;572126;194772
Farden;7433;2;Donat;GR;752092;166850
Farnern;4539;2;Farnern;BE;612768;235434
Farvagny;1726;0;Farvagny;FR;571969;173985
Farvagny-le-Petit;1726;2;Farvagny;FR;572036;175643
Faulensee;3705;0;Spiez;BE;620177;169101
Fehraltorf;8320;0;Fehraltorf;ZH;699052;249347
Fehren;4232;0;Breitenbach;SO;610578;250237
Felben-Wellhausen;8552;0;Felben-Wellhausen;TG;712780;270604
Feldbach;8714;0;Hombrechtikon;ZH;702081;232533
Feldbrunnen;4532;0;Feldbrunnen-St. Niklaus;SO;608620;229941
Feldis/Veulden;7404;0;Tomils;GR;752443;184840
Felsberg;7012;0;Felsberg;GR;754289;191883
Felsenau AG;5316;2;Leuggern;AG;658632;273060
Fenalet-sur-Bex;1880;3;Bex;VD;568602;125330
Fenil-sur-Corsier;1809;0;Corsier-sur-Vevey;VD;556078;148439
Fenin;2063;3;Fenin-Vilars-Saules;NE;560584;208111
Fenkrieden;5645;2;Sins;AG;670685;223552
Ferden;3916;0;Ferden;VS;623273;137795
Ferenbalm;3206;1;Ferenbalm;BE;582975;200586
Ferlens VD;1076;0;Ferlens (VD);VD;550094;160076
Ferpicloz;1724;3;Ferpicloz;FR;578879;177481
Ferreyres;1313;0;Ferreyres;VD;526699;168085
Fescoggia;6938;1;Alto Malcantone;TI;710947;100747
Feuerthalen;8245;0;Feuerthalen;ZH;690431;282769
Feusisberg;8835;0;Feusisberg;SZ;700028;226222
Feutersoey;3784;0;Gsteig;BE;583405;138218
Fex;7514;2;Sils im Engadin/Segl;GR;780868;138725
Fey;1044;0;Fey;VD;541971;169460
Fey (Nendaz);1996;1;Nendaz;VS;586825;114926
Fiaugères;1609;3;Saint-Martin (FR);FR;558155;159911
Fidaz;7019;0;Flims;GR;743320;189908
Fideris;7235;0;Fideris;GR;775135;195545
Fiesch;3984;0;Bellwald;VS;655624;141119
Fiesch;3984;0;Fiesch;VS;652575;140178
Fieschertal;3984;2;Fieschertal;VS;646943;148768
Fiez;1420;0;Fiez;VD;538095;186610
Figino;6918;0;Lugano;TI;714978;90463
Filet;3983;3;Mörel-Filet;VS;647908;133076
Filisur;7477;0;Filisur;GR;772941;168429
Filzbach;8757;0;Glarus Nord;GL;727581;219251
Finhaut;1925;0;Finhaut;VS;561032;102372
Finsterhennen;2577;2;Finsterhennen;BE;580101;207993
Finstersee;6313;3;Menzingen;ZG;690846;224398
Finsterwald b. Entlebuch;6162;3;Entlebuch;LU;651401;197430
Fionnay;1948;1;Bagnes;VS;594284;91102
Fischbach LU;6145;0;Fischbach;LU;635372;222583
Fischbach-Göslikon;5525;0;Fischbach-Göslikon;AG;665982;246799
Fischenthal;8497;0;Fischenthal;ZH;712359;243500
Fischingen;8376;0;Fischingen;TG;715629;252047
Fisibach;5467;0;Fisibach;AG;672743;267850
Fislisbach;5442;0;Fislisbach;AG;664263;254301
Flaach;8416;0;Flaach;ZH;687512;270949
Flamatt;3175;0;Wünnewil-Flamatt;FR;589919;192924
Flanthey;3978;0;Lens;VS;601102;124340
Flawil;9230;0;Flawil;SG;732144;252382
Flendruz;1659;2;Rougemont;VD;579534;151514
Flerden;7426;0;Flerden;GR;750018;174210
Flerden;7426;0;Flerden;GR;749827;170686
Fleurier;2114;0;Val-de-Travers;NE;535519;194219
Flims Dorf;7017;0;Flims;GR;739533;190957
Flims Waldhaus;7018;0;Flims;GR;740909;187571
Flond;7137;0;Mundaun;GR;731469;180933
Flumenthal;4534;0;Flumenthal;SO;612239;231712
Flums;8890;0;Flums;SG;744434;217568
Flums Hochwiese;8893;0;Flums;SG;747279;216661
Flumserberg Bergheim;8896;0;Flums;SG;741873;218034
Flumserberg Portels;8895;0;Flums;SG;742973;214915
Flumserberg Saxli;8894;0;Flums;SG;743365;213678
Flumserberg Tannenbodenalp;8898;0;Quarten;SG;739423;216696
Flumserberg Tannenheim;8897;0;Flums;SG;738726;211334
Flurlingen;8247;0;Flurlingen;ZH;689867;282127
Fläsch;7306;0;Fläsch;GR;756837;211907
Flüelen;6454;0;Flüelen;UR;690607;196411
Flüeli-Ranft;6073;0;Sachseln;OW;662542;191897
Flüh;4112;2;Hofstetten-Flüh;SO;604470;259281
Flühli LU;6173;0;Flühli;LU;644292;192281
Font;1473;0;Estavayer-le-Lac;FR;552966;187556
Fontaine Dessous (Liddes);1945;3;Liddes;VS;579198;95937
Fontaine Dessus (Liddes);1945;2;Liddes;VS;579571;94907
Fontainemelon;2052;0;Fontainemelon;NE;558079;211735
Fontaines NE;2046;0;Fontaines (NE);NE;559128;210163
Fontaines-sur-Grandson;1421;0;Fontaines-sur-Grandson;VD;537312;187222
Fontanezier;1423;2;Tévenon;VD;540660;190309
Fontannen b. Wolhusen;6110;2;Menznau;LU;644258;208753
Fontannen b. Wolhusen;6110;2;Romoos;LU;646617;209079
Fontannen b. Wolhusen;6110;2;Romoos;LU;639884;207470
Fontenais;2902;0;Fontenais;JU;572818;249867
Fontenelle (Le Châble VS);1934;4;Bagnes;VS;582925;103896
Fontnas;9476;2;Wartau;SG;755625;217549
Forch;8127;0;Küsnacht (ZH);ZH;691516;241959
Forel (Lavaux);1072;0;Forel (Lavaux);VD;548205;154566
Forel FR;1475;2;Vernay;FR;558688;191721
Forel-sur-Lucens;1526;0;Forel-sur-Lucens;VD;553007;175133
Formangueires;1782;6;La Sonnaz;FR;575874;186274
Fornet-Dessous;2717;0;Châtelat;BE;580357;236268
Fornet-Dessus;2718;2;Lajoux (JU);JU;578676;237554
Fornex (Liddes);1945;7;Liddes;VS;578108;95266
Forst b. Längenbühl;3636;2;Forst-Längenbühl;BE;606567;179288
Fortunau (Ayent);1966;2;Ayent;VS;599192;127928
Founex;1297;0;Founex;VD;503371;132416
Frasco;6636;0;Frasco;TI;706314;134851
Frasnacht;9320;2;Arbon;TG;748358;265628
Frasses;1483;2;Les Montets;FR;556482;186368
Fraubrunnen;3312;0;Fraubrunnen;BE;606967;215234
Frauenfeld;8500;0;Frauenfeld;TG;710253;268763
Frauenkappelen;3202;0;Frauenkappelen;BE;591932;200418
Fregiécourt;2953;2;La Baroche;JU;581378;251147
Freidorf TG;9306;0;Roggwil (TG);TG;746872;261162
Freienbach;8807;0;Freienbach;SZ;699805;229118
Freienstein;8427;2;Freienstein-Teufen;ZH;687138;265244
Freienwil;5423;0;Freienwil;AG;666448;261223
Freimettigen;3510;8;Freimettigen;BE;614618;190446
Frenières-sur-Bex;1880;2;Bex;VD;571041;121176
Frenkendorf;4402;0;Frenkendorf;BL;620168;261309
Fresens;2027;3;Fresens;NE;547396;193153
Fretereules;2149;2;Brot-Dessous;NE;548978;201297
Freudwil;8615;2;Uster;ZH;697740;248103
Fribourg;1700;0;Fribourg;FR;579245;183713
Frick;5070;0;Frick;AG;643194;262058
Frieswil;3035;0;Wohlen bei Bern;BE;588922;204558
Friltschen;9504;0;Bussnang;TG;724250;266190
Frinvillier;2535;0;Vauffelin;BE;586434;224189
Froideville;1055;0;Froideville;VD;542753;160877
Fruthwilen;8269;0;Salenstein;TG;722124;279691
Frutigen;3714;0;Frutigen;BE;615161;159268
Fräschels;3284;0;Fräschels;FR;582450;205245
Frümsen;9467;0;Sennwald;SG;753777;235554
Ftan;7551;0;Ftan;GR;812700;189629
Fuldera;7533;0;Val Müstair;GR;822621;165362
Fulenbach;4629;0;Fulenbach;SO;629740;236517
Full-Reuenthal;5324;0;Full-Reuenthal;AG;657480;273278
Fully;1926;0;Fully;VS;575170;111560
Furna;7232;0;Furna;GR;769237;197999
Fusio;6696;0;Lavizzara;TI;693803;145542
Fällanden;8117;0;Fällanden;ZH;690998;247311
Féchy;1173;0;Féchy;VD;518237;147782
Fétigny;1532;0;Fétigny;FR;559923;182622
Füllinsdorf;4414;0;Füllinsdorf;BL;622278;262112
Fürigen;6363;1;Stansstad;NW;669363;204024
Fürstenau;7414;0;Fürstenau;GR;753678;176574
Fürstenaubruck;7413;0;Fürstenau;GR;753832;175666
Gabi (Simplon);3907;3;Simplon;VS;648985;114894
Gachnang;8547;0;Gachnang;TG;706606;266334
Gadenstätt;7244;0;Luzein;GR;778998;201925
Gadmen;3863;0;Gadmen;BE;670768;172571
Gais;9056;0;Gais;AR;752950;248500
Galgenen;8854;2;Galgenen;SZ;708415;225324
Gallenkirch;5224;2;Gallenkirch;AG;651562;259028
Galmiz;3285;0;Galmiz;FR;577744;201239
Gals;3238;0;Gals;BE;571087;209457
Gammen;3206;4;Ferenbalm;BE;583776;196613
Gampel;3945;0;Gampel-Bratsch;VS;622679;131658
Gampelen;3236;0;Gampelen;BE;571161;205094
Gamprin-Bendern;9487;0;Gamprin (LI);;757126;232515
Gams;9473;0;Gams;SG;751401;231215
Gamsen;3900;2;Brig-Glis;VS;639498;128307
Gandria;6978;0;Lugano;TI;721516;96643
Gansingen;5272;0;Gansingen;AG;652188;265579
Ganterschwil;9608;0;Ganterschwil;SG;725469;248087
Gasel;3144;0;Köniz;BE;596827;193899
Gasenried;3924;1;St. Niklaus;VS;630078;114396
Gattikon;8136;0;Thalwil;ZH;684318;237094
Gebenstorf;5412;0;Gebenstorf;AG;660705;259115
Gebertingen;8725;2;Ernetschwil;SG;718264;234950
Geiss;6123;0;Menznau;LU;647201;215801
Gelfingen;6284;0;Hitzkirch;LU;663344;228878
Gelterfingen;3126;2;Gelterfingen;BE;606045;187919
Gelterkinden;4460;0;Gelterkinden;BL;631771;256119
Geltwil;5637;2;Geltwil;AG;667172;233541
Gempen;4145;0;Gempen;SO;616804;258907
Gempenach;3215;0;Gempenach;FR;581773;199130
Genestrerio;6852;0;Novazzano;TI;718453;78828
Genolier;1272;0;Genolier;VD;506478;143283
Genthod;1294;0;Genthod;GE;500948;124665
Gentilino;6925;0;Collina d'Oro;TI;715195;94414
Genève;1207;0;Genève;GE;501461;117948
Genève;1208;0;Genève;GE;501758;117236
Genève;1204;0;Genève;GE;500150;117599
Genève;1209;0;Genève;GE;498596;119784
Genève;1203;0;Genève;GE;498513;118311
Genève;1201;0;Genève;GE;500274;118469
Genève;1202;0;Genève;GE;500043;119710
Genève;1205;0;Genève;GE;500032;116802
Genève;1206;0;Genève;GE;501190;115885
Genève;1215;0;Le Grand-Saconnex;GE;497271;121290
Gerlafingen;4563;0;Gerlafingen;SO;609931;224359
Gerlikon;8500;4;Frauenfeld;TG;708535;265901
Geroldswil;8954;0;Geroldswil;ZH;673527;252913
Gerolfingen;2575;1;Täuffelen;BE;581917;213975
Gerra (Gambarogno);6576;0;Gambarogno;TI;704952;108438
Gerra (Verzasca);6635;0;Cugnasco-Gerra;TI;705343;130022
Gersau;6442;0;Gersau;SZ;681762;205773
Gerzensee;3115;0;Gerzensee;BE;607837;188660
Geschinen;3985;2;Münster-Geschinen;VS;665848;149203
Gettnau;6142;0;Gettnau;LU;640333;220949
Geuensee;6232;0;Geuensee;LU;651648;228236
Ghirone;6720;2;Blenio;TI;715723;160323
Gibswil;8498;0;Bäretswil;ZH;711021;242076
Giebenach;4304;0;Giebenach;BL;622648;263729
Giez;1429;0;Giez;VD;537100;185073
Giffers;1735;0;Giffers;FR;583881;178073
Gillarens;1673;2;Rue;FR;552955;159525
Gilly;1182;0;Gilly;VD;512497;146289
Gimel;1188;0;Gimel;VD;511758;152860
Gimmelwald;3826;0;Lauterbrunnen;BE;631612;153551
Gingins;1276;0;Gingins;VD;501269;142345
Giornico;6745;0;Giornico;TI;709747;139095
Gipf-Oberfrick;5073;0;Gipf-Oberfrick;AG;642798;260035
Gisikon;6038;0;Gisikon;LU;672956;219988
Giswil;6074;0;Giswil;OW;652029;187476
Giubiasco;6512;0;Giubiasco;TI;720387;114614
Giumaglio;6678;0;Maggia;TI;695713;128146
Givisiez;1762;0;Givisiez;FR;576103;184744
Givrins;1271;0;Givrins;VD;504364;143174
Gland;1196;0;Gland;VD;510128;141458
Glarus;8750;0;Glarus;GL;722712;210973
Glashütten;4856;0;Murgenthal;AG;631603;233327
Glaspass;7428;2;Tschappina;GR;745846;169761
Glattbrugg;8152;0;Opfikon;ZH;684672;254144
Glattfelden;8192;0;Glattfelden;ZH;680050;267733
Glattpark (Opfikon);8152;2;Opfikon;ZH;684855;252844
Gletterens;1544;0;Gletterens;FR;561749;194465
Glion;1823;0;Montreux;VD;560784;142773
Glis;3902;0;Brig-Glis;VS;641420;128907
Glovelier;2855;0;Glovelier;JU;580890;241496
Gluringen;3998;1;Reckingen-Gluringen;VS;659937;147223
Gnosca;6525;0;Gnosca;TI;720443;121982
Gockhausen;8044;1;Dübendorf;ZH;687657;248403
Gohl;3553;0;Langnau im Emmental;BE;629898;203512
Golaten;3207;2;Golaten;BE;584734;204004
Goldach;9403;0;Goldach;SG;752627;260178
Goldau;6410;0;Arth;SZ;684619;211320
Goldingen;8638;0;Goldingen;SG;716463;239154
Goldiwil (Thun);3624;0;Thun;BE;617482;178805
Goldswil b. Interlaken;3805;0;Ringgenberg (BE);BE;633390;172423
Golino;6656;0;Centovalli;TI;698377;114899
Gollion;1124;0;Gollion;VD;528829;159918
Gommiswald;8737;0;Gommiswald;SG;719643;232952
Gondiswil;4955;0;Gondiswil;BE;632477;221808
Gondo;3907;4;Zwischbergen;VS;650398;110785
Gonten;9108;0;Gonten;AI;744172;243850
Gontenbad;9108;2;Gonten;AI;745948;243418
Gontenschwil;5728;0;Gontenschwil;AG;653308;235439
Goppenstein;3917;2;Ferden;VS;624418;135197
Goppisberg;3983;4;Riederalp;VS;646969;135737
Gordevio;6672;0;Avegno Gordevio;TI;702312;121295
Gordola;6596;0;Gordola;TI;710320;114832
Gorduno;6518;0;Gorduno;TI;719347;120762
Gorgier;2023;0;Gorgier;NE;547995;196898
Gossau SG;9200;0;Gossau (SG);SG;737242;253809
Gossau ZH;8625;0;Gossau (ZH);ZH;699607;240196
Gossens;1407;2;Donneloye;VD;543406;176730
Gossliwil;4579;0;Gossliwil;SO;599621;220665
Gottlieben;8274;2;Gottlieben;TG;726749;280685
Goumoens-la-Ville;1376;0;Goumoëns;VD;536732;167775
Goumoens-le-Jux;1376;3;Goumoëns;VD;534819;168737
Goumois;2354;0;Saignelégier;JU;564132;233600
Graben;3376;0;Graben;BE;621344;229702
Grabs;9472;0;Grabs;SG;752352;227694
Grabserberg;9472;2;Grabs;SG;747020;225551
Grafenort;6388;0;Engelberg;OW;671110;190537
Grafenried;3308;0;Grafenried;BE;605236;214155
Grafstal;8310;1;Lindau;ZH;695295;255815
Graltshausen;8572;3;Berg (TG);TG;731220;273277
Grancia;6916;0;Grancia;TI;715358;91812
Grancy;1117;0;Grancy;VD;525039;160760
Grand-Lancy;1212;0;Lancy;GE;498081;115060
Grandcour;1543;0;Grandcour;VD;561095;191537
Grandevent;1421;2;Grandevent;VD;536454;188229
Grandfontaine;2908;0;Grandfontaine;JU;561721;249241
Grandsivaz;1775;3;Montagny (FR);FR;565011;181765
Grandson;1422;0;Grandson;VD;539886;185614
Grandval;2745;0;Grandval;BE;599230;236902
Grandvaux;1091;0;Bourg-en-Lavaux;VD;545495;150989
Grandvillard;1666;0;Grandvillard;FR;574603;152494
Granges (Veveyse);1614;0;Granges (Veveyse);FR;552973;152450
Granges VS;3977;0;Sierre;VS;601923;123180
Granges-Paccot;1763;0;Granges-Paccot;FR;578259;185734
Granges-de-Vesin;1484;2;Les Montets;FR;554514;184743
Granges-près-Marnand;1523;0;Valbroye;VD;557630;179659
Grangettes;1686;0;Grangettes;FR;564726;168959
Granois (Savièse);1965;3;Savièse;VS;591663;122755
Grasswil;3365;0;Seeberg;BE;617478;220987
Grattavache;1624;2;La Verrerie;FR;561237;160823
Gravesano;6929;0;Gravesano;TI;714596;99970
Greich;3983;5;Riederalp;VS;646319;135141
Greifensee;8606;2;Greifensee;ZH;693629;246528
Grellingen;4203;0;Grellingen;BL;610999;254279
Grenchen;2540;0;Grenchen;SO;596021;228021
Greng;3280;4;Greng;FR;573581;196036
Grengiols;3993;0;Grengiols;VS;653710;132710
Grenilles;1726;3;Farvagny;FR;570161;175232
Grens;1274;3;Grens;VD;504062;139069
Greppen;6404;0;Greppen;LU;675955;212186
Gresso;6611;16;Gresso;TI;690805;121548
Gressy;1432;2;Yverdon-les-Bains;VD;539051;178139
Gretschins;9479;2;Wartau;SG;755438;218219
Gretzenbach;5014;0;Gretzenbach;SO;642319;244620
Grimentz;3961;26;Anniviers;VS;609656;110178
Grimisuat;1971;0;Grimisuat;VS;595669;122851
Grindel;4247;0;Grindel;SO;605292;247709
Grindelwald;3818;0;Grindelwald;BE;646115;162887
Grolley;1772;0;Grolley;FR;571580;187117
Grono;6537;0;Grono;GR;734581;121627
Gross;8841;0;Einsiedeln;SZ;700729;217381
Grossaffoltern;3257;0;Grossaffoltern;BE;594518;213067
Grossdietwil;6146;0;Grossdietwil;LU;634699;224309
Grosshöchstetten;3506;0;Grosshöchstetten;BE;615002;195176
Grosswangen;6022;0;Grosswangen;LU;646750;220397
Grub AR;9035;0;Grub (AR);AR;755954;256637
Grub SG;9036;0;Eggersriet;SG;756432;258001
Gruben;3946;2;Turtmann;VS;620466;117218
Grugnay (Chamoson);1955;4;Chamoson;VS;582644;117399
Grund b. Gstaad;3783;0;Saanen;BE;584992;143011
Gruyères;1663;0;Gruyères;FR;572867;158797
Gryon;1882;0;Bex;VD;576406;126125
Grächen;3925;0;Grächen;VS;631427;116359
Gränichen;5722;0;Gränichen;AG;650396;245042
Gräslikon;8415;1;Berg am Irchel;ZH;687777;267897
Grône;3979;0;Grône;VS;603671;119950
Grünen;3455;0;Sumiswald;BE;622766;207897
Grünenmatt;3452;0;Lützelflüh;BE;622062;206555
Grüningen;8627;0;Grüningen;ZH;700124;237251
Grüsch;7214;0;Grüsch;GR;767756;203387
Grüt (Gossau ZH);8624;0;Gossau (ZH);ZH;701350;240792
Gstaad;3780;0;Saanen;BE;588913;147155
Gsteig b. Gstaad;3785;0;Gsteig;BE;585525;135011
Gsteigwiler;3814;0;Gsteigwiler;BE;634564;166656
Guarda;7545;0;Guarda;GR;806163;188987
Gudo;6515;0;Gudo;TI;716314;115950
Guggisberg;3158;0;Guggisberg;BE;590939;178743
Gumefens;1643;0;Pont-en-Ogoz;FR;572211;169603
Gundetswil;8543;1;Bertschikon;ZH;704156;266166
Guntalingen;8468;2;Waltalingen;ZH;699278;276926
Gunten;3654;0;Sigriswil;BE;620340;173764
Guntershausen b. Aadorf;8357;0;Aadorf;TG;711549;258835
Guntershausen b. Berg;8572;4;Berg (TG);TG;731569;270727
Gunterswilen;8564;8;Wäldi;TG;723084;277533
Guntmadingen;8223;0;Guntmadingen;SH;683996;281696
Gunzgen;4617;0;Gunzgen;SO;629859;240605
Gunzwil;6222;0;Beromünster;LU;655493;227126
Gurbrü;3208;0;Gurbrü;BE;583121;201776
Gurmels;3212;0;Gurmels;FR;579783;193070
Gurtnellen;6482;0;Gurtnellen;UR;691486;175902
Gurzelen;3663;0;Gurzelen;BE;607381;180074
Guschelmuth;1792;2;Gurmels;FR;577283;192515
Gutenburg;4932;2;Madiswil;BE;627442;225771
Gutenswil;8605;0;Volketswil;ZH;696560;249201
Guttannen;3864;0;Guttannen;BE;666309;162186
Guttet-Feschel;3956;0;Guttet-Feschel;VS;618484;134403
Gwatt (Thun);3645;0;Thun;BE;613996;174781
Gy;1251;0;Gy;GE;511106;123120
Gysenstein;3503;0;Konolfingen;BE;611984;193893
Gächlingen;8214;0;Gächlingen;SH;679781;284748
Gächliwil;4584;3;Lüterswil-Gächliwil;SO;600351;219721
Gähwil;9534;0;Kirchberg (SG);SG;717890;250681
Gänsbrunnen;4716;1;Gänsbrunnen;SO;603314;235427
Göschenen;6487;0;Göschenen;UR;682616;169051
Götighofen;8583;1;Sulgen;TG;733675;266314
Gümligen;3073;0;Muri bei Bern;BE;605217;198228
Gümmenen;3205;0;Mühleberg;BE;585757;199152
Gündisau;8322;2;Russikon;ZH;703145;250836
Gündlischwand;3815;2;Gündlischwand;BE;637340;167084
Günsberg;4524;0;Günsberg;SO;610078;234663
Güttingen;8594;0;Güttingen;TG;738993;273596
Haag (Rheintal);9469;0;Sennwald;SG;755191;230619
Habkern;3804;0;Habkern;BE;634467;178078
Habsburg;5245;0;Habsburg;AG;656331;257044
Hagenbuch ZH;8523;0;Hagenbuch;ZH;708120;263644
Hagendorn;6332;0;Cham;ZG;675044;229169
